Year,AirlineName,AirlineExpense,AirlineRevenue,AirlinePassengers,OperatingIncome,YoYGrowthOperInc,YoY%DifferenceOperInc,YoY%Revenue,YoY%Expense,Operating Profit Margin,YoY%OPM,YoYPassenger
1995,American,14642381000,15610201000,79567182,967820000,,,,,0.0619992016758785,,
1995,Continental,4680825000,4919025000,35284189,238200000,,,,,0.0484242304115145,,
1995,Delta,11518849000,12557276000,86963085,1038427000,,,,,0.0826952437773925,,
1995,Northwest,7998622000,8908851000,49370005,910229000,,,,,0.102171312551978,,
1995,United,14062824000,14894761000,78807932,831937000,,,,,0.0558543369712344,,
1995,US_Airways,6750225000,6984876000,57035260,234651000,,,,,0.0335941539978662,,
1995,America_West,1407115830,1561848630,16848329,154732800,,,,,0.0990702921063482,,
1995,sub_Network,61060841830,65436838630,403875982,4375996800.00001,,,,,0.0668735973744581,,
1995,Southwest,2564934000,2873482000,50151362,308548000,,,,,0.107377738924413,,
1995,jetBlue,0,0,0,0,,,,,0,,
1995,AirTran,0,0,497599,0,,,,,0,,
1995,Frontier,64428420,55850340,611451,-8578080,,,,,-0.153590470532498,,
1995,Virgin_America,0,0,0,0,,,,,0,,
1995,sub_LCC,2629362420,2929332340,51260412,299969920,,,,,0.102402146695311,,
1995,Alaska,1090454000,1162878000,10139128,72424000,,,,,0.0622799640203014,,
1995,Hawaiian,348964520,346904030,4926466,-2060489.99999988,,,,,-0.00593965426115079,,
1995,Spirit,49144810,53611670,678005,4466860,,,,,0.083318799806087,,
1995,Allegiant,0,0,0,0,,,,,0,,
1995,sub_Other,1488563330,1563393700,15743599,74830370.0000002,,,,,0.047864060089279,,
1996,American,13805158000,15136003000,79387628,1330845000,363025000,0.375095575623566,-0.0303774435703935,-0.0571780641413442,0.0879257885982184,0.418176141329687,-0.00225663389712608
1996,Continental,5092729000,5487150000,35984116,394421000,156221000,0.655839630562552,0.115495448793206,0.0879981627170424,0.0718808488924123,0.484398374151966,0.0198368453360229
1996,Delta,12746582000,13317693000,97268562,571111000,-467316000,-0.450022967430546,0.0605558880763631,0.106584694356181,0.0428836285684015,-0.48142569500321,0.118504041111237
1996,Northwest,8643457000,9751383000,52722136,1107926000,197697000,0.217194793837595,0.0945724650687277,0.0806182614955426,0.113617319717624,0.112027602266761,0.0678981296436976
1996,United,15186525000,16316749000,81944830,1130224000,298287000.000002,0.358545178300763,0.0954690041686471,0.0799057856373656,0.0692677199361222,0.240149354414427,0.0398043435526262
1996,US_Airways,7335389000,7704057000,56894285,368668000,134017000,0.571133300092478,0.102962600910882,0.0866880733605176,0.0478537477072145,0.424466522069702,-0.00247171661880738
1996,America_West,1683146590,1751812890,18178063,68666300,-86066499.9999998,-0.556226604831037,0.121627830220653,0.196167759693244,0.0391972797962458,-0.604348801614827,0.0789237911961477
1996,sub_Network,64492986590,69464847890,422379620,4971861300,595864499.999992,0.136166575807366,0.0615556824616115,0.0562086053375331,0.0715737736570461,0.0702844839686049,0.0458151482748979
1996,Southwest,3057632000,3407361000,55490793,349729000,41181000,0.133467078055926,0.185795143313931,0.192089932918352,0.102639256597701,-0.0441290939274413,0.106466320894735
1996,jetBlue,0,0,0,0,0,0,0,0,0,0,0
1996,AirTran,0,0,1075371,0,0,0,0,0,0,0,1.16111969678396
1996,Frontier,118401050,109511360,1283378,-8889690,-311610,-0.0363263107828325,0.96080023863776,0.837714629661879,-0.0811759620189175,0.471477874001685,1.09890571771082
1996,Virgin_America,0,0,0,0,0,0,0,0,0,0,0
1996,sub_LCC,3176033050,3516872360,57849542,340839310,40869390,0.136244960828072,0.200571308341204,0.207909957882489,0.0969154621238514,-0.0535797807812093,0.128542275469811
1996,Alaska,1225930000,1306621000,11804938,80691000,8267000,0.114147244007511,0.12360969938377,0.124238161352978,0.0617554746173527,-0.0084214789009462,0.164295193827319
1996,Hawaiian,382562150,384472780,5340302,1910629.99999988,3971119.99999976,1.92726972710374,0.108297242900291,0.0962780686128209,0.00496948054424004,1.83666158428508,0.0840026095785498
1996,Spirit,66162540,62742170,750007,-3420370.00000001,-7887230.00000001,-1.7657213344497,0.170308069120026,0.346277256947377,-0.0545146908371197,-1.65429039981367,0.106196856955332
1996,Allegiant,0,0,0,0,0,0,0,0,0,0,0
1996,sub_Other,1674654690,1753835950,17895247,79181260,4350889.99999976,0.0581433714680249,0.121813366652302,0.125014069774243,0.0451474723163247,-0.056756317117419,0.136668115086011
1997,American,14408792000,15855804000,81138330,1447012000,116167000,0.0872881515127607,0.0475555534707545,0.0437252510981765,0.0912607143731091,0.0379288696531314,0.0220525797798115
1997,Continental,5716169000,6360742000,38965779,644573000,250152000,0.634225865255653,0.159206874242549,0.122417666441705,0.101336133425943,0.409779308221833,0.0828605321303433
1997,Delta,12582662000,14203939000,103207867,1621277000,1050166000,1.83881242000242,0.0665465107207382,-0.012859918054895,0.114142774057253,1.66168647261716,0.0610608903624997
1997,Northwest,8780475000,9983693000,54704317,1203218000,95292000,0.0860093544153671,0.0238232874249735,0.0158522220912304,0.120518329239491,0.0607390628384692,0.0375967506324099
1997,United,16109679000,17335185000,84247098,1225506000,95281999.9999981,0.084303642463793,0.0624166002676145,0.0607877048896966,0.0706947171316603,0.0206011861925588,0.0280953417073414
1997,US_Airways,7915335000,8501485000,58814445,586150000.000001,217482000.000001,0.58991287554114,0.103507541545967,0.0790613831113796,0.0689467781217047,0.440781159785949,0.0337496112307238
1997,America_West,1724562130,1887135430,18331351,162573300,93907000,1.36758497254112,0.077247142530159,0.024606020798224,0.0861481891630852,1.19781039936695,0.00843258162324556
1997,sub_Network,67237674130,74127983430,439409187,6890309300.00002,1918448000.00002,0.385861126093766,0.0671294285043888,0.0425579227311759,0.0929515276306771,0.298681386789312,0.0403181550284079
1997,Southwest,3292675000,3816997000,51669196,524322000,174593000,0.499223684624381,0.120220898225929,0.0768709249510733,0.137365054256003,0.338328616256553,-0.0688690284170205
1997,jetBlue,0,0,0,0,0,0,0,0,0,0,0
1997,AirTran,118018230,105597460,1085288,-12420770,-12420770,0,0,0,-0.1176237572381,0,0.00922193363964622
1997,Frontier,157875450,138323250,1278127,-19552200,-10662510,-1.19942427688705,0.263094988501649,0.333395692014555,-0.1413515081521,-0.741297603829558,-0.00409154590463605
1997,Virgin_America,0,0,0,0,0,0,0,0,0,0,0
1997,sub_LCC,3568568680,4060917710,54032611,492349030,151509720,0.444519500993003,0.154695790551807,0.123593055809038,0.121240829083434,0.250995727890109,-0.0659803149349045
1997,Alaska,1324356000,1457429000,12283258,133073000,52382000,0.649167813015082,0.115418319466777,0.080286802672257,0.0913066777180912,0.478519569055906,0.0405186372008053
1997,Hawaiian,402392220,404216360,5188656,1824140.00000012,-86489.9999997616,-0.0452677912519781,0.0513523480127777,0.0518348979374982,0.0045127812243921,-0.0919008165505914,-0.028396521395232
1997,Spirit,79236070,81085870,1093321,1849800,5270170.00000001,1.54081868335882,0.292366362209021,0.197597159963931,0.0228128525968828,1.41847164950533,0.457747727687875
1997,Allegiant,0,0,0,0,0,0,0,0,0,0,0
1997,sub_Other,1805984290,1942731230,18565235,136746940,57565680.0000002,0.727011416590242,0.10770407574323,0.078421898427311,0.0703890161893368,0.559090965185334,0.0374394385280069
1998,American,14550463000,16298846000,81476833,1748383000,301371000.000002,0.208271251378704,0.0279419447919514,0.00983226074746585,0.107270355214105,0.175427520494118,0.00417192466248689
1998,Continental,6638851000,7298958000,41691408,660107000,15534000,0.0240996752889122,0.147501030540148,0.161416151271945,0.0904385256087239,-0.107539210830293,0.0699493008981034
1998,Delta,12836685000,14629825000,103724605,1793140000,171863000,0.106004711101188,0.0299836545341401,0.020188335345891,0.122567426472976,0.0738080223238413,0.00500676949364722
1998,Northwest,8836084000,8706718000,50538811,-129366000,-1332584000,-1.10751667611356,-0.127906076438849,0.00633325645822122,-0.0148581819234297,-1.12328566133624,-0.0761458368998556
1998,United,16082351000,17517545000,86868185,1435194000,209688000,0.171103201453114,0.010519645449414,-0.00169637147953103,0.0819289460937591,0.158911859583178,0.0311118965783249
1998,US_Airways,7565643000,8555664000,58094384,990021000,403870999.999999,0.689023287554378,0.00637288661921994,-0.0441790524342937,0.115715273531078,0.678327496707938,-0.012242927736545
1998,America_West,1785128070,1982974040,17791959,197845970,35272670,0.216964716838497,0.0507852316672365,0.0351196045340506,0.0997723449773453,0.158147907072876,-0.0294245634159752
